local_polo,campus_id,name,local_bloco_polo,capacidade,id,permite_reserva,informacoes_adicionais,responsavel_ids
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 2,"[4, u'COORDENA\xc7\xd5ES']",0,101,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 3,"[4, u'COORDENA\xc7\xd5ES']",0,102,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA 2,"[4, u'COORDENA\xc7\xd5ES']",0,103,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 4,"[4, u'COORDENA\xc7\xd5ES']",0,104,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 5,"[4, u'COORDENA\xc7\xd5ES']",0,105,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 6,"[4, u'COORDENA\xc7\xd5ES']",0,106,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA 3,"[4, u'COORDENA\xc7\xd5ES']",0,107,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 7,"[4, u'COORDENA\xc7\xd5ES']",0,108,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 8,"[4, u'COORDENA\xc7\xd5ES']",0,109,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 9,"[4, u'COORDENA\xc7\xd5ES']",0,110,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA 4,"[4, u'COORDENA\xc7\xd5ES']",0,111,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 10,"[4, u'COORDENA\xc7\xd5ES']",0,112,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 11,"[4, u'COORDENA\xc7\xd5ES']",0,113,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 12,"[4, u'COORDENA\xc7\xd5ES']",0,114,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA 5,"[4, u'COORDENA\xc7\xd5ES']",0,115,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 13,"[4, u'COORDENA\xc7\xd5ES']",0,116,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 14,"[4, u'COORDENA\xc7\xd5ES']",0,117,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA 15,"[4, u'COORDENA\xc7\xd5ES']",0,118,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",REUNIÃO,"[4, u'COORDENA\xc7\xd5ES']",0,119,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SECRETARIA DE NÚCLEO,"[4, u'COORDENA\xc7\xd5ES']",0,120,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",NÚCLEO 1,"[4, u'COORDENA\xc7\xd5ES']",0,121,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",NÚCLEO 2,"[4, u'COORDENA\xc7\xd5ES']",0,122,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",NÚCLEO 3,"[4, u'COORDENA\xc7\xd5ES']",0,123,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COPA COORDENAÇÕES,"[4, u'COORDENA\xc7\xd5ES']",0,124,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC MASCULINO,"[4, u'COORDENA\xc7\xd5ES']",0,125,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",WC FEMININO,"[4, u'COORDENA\xc7\xd5ES']",0,126,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",CIRCULAÇÃO,"[4, u'COORDENA\xc7\xd5ES']",0,127,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",ACESSO PRINCIPAL,"[4, u'COORDENA\xc7\xd5ES']",0,128,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",Laboratório de Química,"[4, u'COORDENA\xc7\xd5ES']",0,129,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO DE CIENCIAS,"[4, u'COORDENA\xc7\xd5ES']",30,130,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO DE ENFERMAGEM,"[4, u'COORDENA\xc7\xd5ES']",0,131,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATORIO DE ZOOETECNIA E AGRONOMIA,"[4, u'COORDENA\xc7\xd5ES']",0,132,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",GRUPO  DE ENFERMAGEM ,"[4, u'COORDENA\xc7\xd5ES']",0,133,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",ANTESALA AUDITORIO,"[4, u'COORDENA\xc7\xd5ES']",0,134,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",AUDITORIO,"[4, u'COORDENA\xc7\xd5ES']",150,135,True,False,"[1815, 2010]"
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA DE MULTIMÍDIA ,"[1, 'A']",0,136,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA DE AULA TIPO 1,"[1, 'A']",0,137,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SALA DE AULA TIPO 2,"[1, 'A']",0,138,False,False,[]
